"TrialNum","SourceFile","n_frames","mean_visible_markers","mean_dist_A","mean_dist_B","Block","Mode","Composition","Collider","Participant","DistAminusB"
1,"P1.2Trial1_raw.csv",1070,8.11869158878502,1622.59935801016,2291.11268113879,"c1","AR","0R2V","1","P1.2",-668.513323128625
2,"P1.2Trial2_raw.csv",838,11.5644391408115,1355.94071017873,1305.5295026613,"c1","AR","0R2V","1","P1.2",50.4112075174341
3,"P1.2Trial3_raw.csv",658,12.69452887538,1459.29659951992,1718.19210578052,"c1","AR","0R2V","1","P1.2",-258.895506260597
4,"P1.2Trial4_raw.csv",525,15.2533333333333,1449.63610443538,1526.24712784449,"c2","AR","2R0V","0","P1.2",-76.6110234091163
5,"P1.2Trial5_raw.csv",872,12.269495412844,1360.29372030974,1166.09558980151,"c2","AR","2R0V","0","P1.2",194.198130508235
6,"P1.2Trial6_raw.csv",542,13.9981549815498,1527.30953211033,1533.51237823628,"c2","AR","2R0V","0","P1.2",-6.20284612595515
7,"P1.2Trial7_raw.csv",539,13.1948051948052,1468.25733822416,1613.72906979173,"c3","AR","1R1V","0","P1.2",-145.471731567569
8,"P1.2Trial8_raw.csv",946,10.0084566596195,1353.47695719841,1375.48977622979,"c3","AR","1R1V","0","P1.2",-22.0128190313808
9,"P1.2Trial9_raw.csv",538,14.228624535316,1531.10544005818,1499.04911174668,"c3","AR","1R1V","0","P1.2",32.0563283115027
10,"P1.2Trial10_raw.csv",539,13.2690166975881,1549.45497896241,1525.32145449245,"c4","AR","1R1V","2","P1.2",24.1335244699585
11,"P1.2Trial11_raw.csv",814,11.4066339066339,1347.74714524999,1214.73985323263,"c4","AR","1R1V","2","P1.2",133.007292017357
12,"P1.2Trial12_raw.csv",618,11.7216828478964,1602.27585487872,1609.24050077713,"c4","AR","1R1V","2","P1.2",-6.96464589840889
13,"P1.2Trial13_raw.csv",554,13.0559566787004,1632.76901070701,1525.64263409052,"c5","AR","0R2V","0","P1.2",107.126376616498
14,"P1.2Trial14_raw.csv",938,10.3230277185501,1336.62813924711,1326.11355308595,"c5","AR","0R2V","0","P1.2",10.5145861611602
15,"P1.2Trial15_raw.csv",563,13.9751332149201,1517.9709204549,1536.54136022246,"c5","AR","0R2V","0","P1.2",-18.5704397675629
16,"P1.2Trial16_raw.csv",463,14.0021598272138,1643.04976710275,1282.5762434263,"c6","AR","2R0V","2","P1.2",360.473523676449
17,"P1.2Trial17_raw.csv",1036,11.7036679536679,1523.91692315912,1241.61161627051,"c6","AR","2R0V","2","P1.2",282.305306888615
18,"P1.2Trial18_raw.csv",684,12.7836257309942,1408.70075798938,1604.88449159975,"c6","AR","2R0V","2","P1.2",-196.183733610368
19,"P1.2Trial19_raw.csv",629,13.1891891891892,1646.95329746803,1474.97991796302,"c7","AR","2R0V","1","P1.2",171.973379505005
20,"P1.2Trial20_raw.csv",1103,8.93563009972806,1286.36313057396,1279.80231302984,"c7","AR","2R0V","1","P1.2",6.56081754411889
21,"P1.2Trial21_raw.csv",660,11.7772727272727,1659.07336540875,1614.37558792599,"c7","AR","2R0V","1","P1.2",44.6977774827606
23,"P1.2Trial23_raw.csv",821,9.80389768574911,1447.25216967876,1908.25030657159,"c8","AR","1R1V","1","P1.2",-460.998136892825
24,"P1.2Trial24_raw.csv",766,14.378590078329,1228.25368977658,1543.67483817866,"c8","AR","1R1V","1","P1.2",-315.421148402084
25,"P1.2Trial25_raw.csv",583,13.9365351629503,1399.99889634291,1563.76035405093,"c8","AR","1R1V","1","P1.2",-163.761457708018
26,"P1.2Trial26_raw.csv",551,15.9201451905626,1464.1140302525,1560.02906548972,"c9","AR","0R2V","2","P1.2",-95.9150352372233
27,"P1.2Trial27_raw.csv",946,10.4471458773784,1312.06853812433,1375.24881339844,"c9","AR","0R2V","2","P1.2",-63.1802752741144
28,"P1.2Trial28_raw.csv",612,13.8088235294118,1429.11901680739,1600.02167798763,"c9","AR","0R2V","2","P1.2",-170.902661180234
29,"P1.2Trial29_raw.csv",706,11.6940509915014,1680.59030718019,1565.03196786191,"c10","VR","2R0V","2","P1.2",115.558339318287
30,"P1.2Trial30_raw.csv",1194,9.97571189279731,1475.45650663213,1187.17870926129,"c10","VR","2R0V","2","P1.2",288.277797370838
31,"P1.2Trial31_raw.csv",748,10.9505347593583,1415.34045613426,1801.99590077811,"c10","VR","2R0V","2","P1.2",-386.655444643854
